"Reported_Income","Claimed_Deductions_Pct","Business_Expenses","Charitable_Contributions_Pct","Home_Office_Deduction","Num_Dependents","Amended_Returns","Tax_Credits","Investment_Income_Pct","Income_Variability_Pct","Years_Since_Last_Audit","Occupation","Tax_Adjustment_Amount"
30191,9.9,16132.75,5.2,4839.825,2,1,1315.7818,10.2,14.18,5,"Lawyer",-10354
30887,19.4,18588.75,0.5,5576.625,1,1,3484.4156,15.4,8.46,10,"Doctor",4423
78741,13.5,19685.25,3.3,10905.575,4,0,3227.007,12.1,18.64,10,"Self-Employed",8448
45101,15.7,19364.25,4.3,5809.275,1,0,4203.1714,5.1,23.84,5,"Lawyer",3015
74945,19.7,31929.25,6,9578.775,1,2,5369.833,10.2,11.88,3,"Doctor",7120
62152,22.6,25070,6.1,7521,1,0,6434.2704,8,23.7,0,"Self-Employed",-46
56590,13.8,27109.5,4.2,8132.85,2,2,1711.884,7.3,14.02,15,"Self-Employed",8737
14260,13.2,21251,3.4,6375.3,1,0,2948.464,7.8,22.82,15,"Real Estate Agent",23419
38258,16,10440.5,4.1,3132.15,2,0,2516.256,11.5,25.5,5,"Small Business Owner",55154
80385,21,37196.25,4.8,11158.875,1,2,4766.17,13.4,23.66,0,"Self-Employed",26306
92029,15.6,36629.25,4.5,10988.775,0,1,4928.3048,4.5,18.3,5,"Small Business Owner",133797
60214,16,31983.5,4.7,11095.05,3,0,4874.848,6.5,4.9,10,"Lawyer",9116
75002,18.9,32114.5,4.7,9634.35,1,0,3586.0756,12.4,23.56,3,"Small Business Owner",143822
108687,18.7,37628.75,0.4,11288.625,3,1,4685.8938,12.9,5.16,10,"Lawyer",6240
118196,20.4,49064,7.9,14719.2,0,1,5908.3968,11,22.1,5,"Self-Employed",6064
42087,5.2,19478.75,2.4,5843.625,3,0,3036.7048,3.5,20.6,15,"Small Business Owner",115757
71480,9.1,17893,2.6,6867.9,1,0,4091.936,8.9,23.26,10,"Lawyer",1707
111045,9.1,38019.25,4.5,11405.775,2,1,3358.019,10.5,21.9,5,"Lawyer",-5877
60908,16.9,15527,6.4,4658.1,0,0,5788.6904,1.7,21.98,5,"Lawyer",2753
73426,8.2,35341.5,4.4,10602.45,1,0,2259.1864,5.8,12.22,5,"Small Business Owner",187604
72417,13.9,20920.25,6.3,6276.075,1,0,2555.1926,11.3,7.92,0,"Doctor",11153
48370,17.1,28090.5,4.2,8427.15,1,0,5001.254,11,13.6,3,"Self-Employed",4297
61659,24.7,21804.75,4.6,6541.425,1,1,5423.9546,8.2,25.68,15,"Doctor",11505
74117,13.8,26750.25,3.3,8025.075,0,2,2107.6292,4.2,22.38,3,"Real Estate Agent",5085
62584,14.9,33080,4,9924,0,1,5147.0032,9.1,7.54,10,"Real Estate Agent",4642
108402,16.2,39488.5,1.3,13346.55,4,0,4655.2248,6.7,18.18,15,"Small Business Owner",206858
60570,12,18291.5,4.4,5487.45,2,0,2590.68,4.8,7.52,15,"Small Business Owner",63016
62005,0,24615.25,1.2,7384.575,2,0,1861,3.5,1.6,10,"Doctor",7288
95906,22.6,32313.5,5.3,9694.05,3,2,7203.9512,3.4,32.16,3,"Small Business Owner",173717
43309,13.3,16376.25,10.6,4912.875,4,0,4394.0194,23.6,19.84,5,"Self-Employed",-1924
73779,11.4,31648.75,1.2,9494.625,0,0,5444.1612,4.6,5.04,5,"Lawyer",4634
28454,16.4,30300.5,2.3,9090.15,0,0,3248.2912,1.3,23.92,10,"Self-Employed",-5169
110015,11.9,32000.75,4.4,12600.225,2,0,4643.357,13.6,22.74,3,"Real Estate Agent",-5655
66791,19.6,25657.75,3.2,7697.325,1,0,3794.2072,8.1,28.04,0,"Doctor",-4757
60965,12.7,38622.25,5.5,11586.675,2,1,3131.511,11.5,4.6,10,"Small Business Owner",211323
37852,19.3,20510,8.5,9153,0,0,4647.0872,10.7,4.28,0,"Doctor",8629
74767,13.8,26967.75,7.6,8090.325,0,3,3589.5692,16.1,20.84,5,"Small Business Owner",118840
50992,10.1,22725,3.6,6817.5,3,0,2960.0384,17.3,7.02,3,"Doctor",16698
58995,18.7,16405.75,7.4,4921.725,1,1,3979.413,13.3,7.42,10,"Self-Employed",4944
113630,27.2,37684.5,6.7,11305.35,1,0,7274.472,10.1,4.34,15,"Real Estate Agent",13590
69734,10,22009.5,6.1,9602.85,1,0,4146.68,8,10.4,15,"Lawyer",5016
42847,12.8,14479.75,3.2,4343.925,2,0,4166.8832,4.3,20.32,15,"Doctor",21531
79896,9.2,31079,6.6,10823.7,1,1,3385.0864,12.5,26,3,"Doctor",7402
64118,23,22313.5,6.4,6694.05,0,0,4500.428,7.7,7.18,10,"Real Estate Agent",8846
92700,15.6,35708,7.7,10712.4,2,0,5100.24,12.5,7.4,0,"Small Business Owner",202753
117973,3.4,41727.25,3.4,12518.175,0,0,3150.2164,8.3,19.42,3,"Real Estate Agent",11999
45219,4,23158.75,4.8,11947.625,1,0,2399.752,7.3,26.52,0,"Self-Employed",23964
88640,19.7,32819,3.4,9845.7,1,1,4310.416,10.2,13.18,3,"Small Business Owner",140740
77547,16.5,31988.75,1.6,9596.625,1,0,4517.051,9.8,7.92,10,"Doctor",10306
101867,5.1,29909.75,4.4,8972.925,1,0,3263.0434,2.1,17.74,5,"Self-Employed",-12435
68107,9,20622.75,6,6186.825,1,1,2423.926,10.9,19.16,10,"Self-Employed",15694
100099,17,31076.75,5.8,9323.025,2,0,4025.366,10.8,18.52,10,"Real Estate Agent",-11148
22648,15.2,21341,1.9,6402.3,2,1,3327.4992,7.8,17.62,5,"Small Business Owner",65385
125684,5.7,41216,7.6,12364.8,0,1,4595.7976,11.9,11.16,10,"Self-Employed",8171
100943,18.8,34419.75,6.8,10325.925,0,0,5884.4568,7,8,10,"Small Business Owner",144634
70477,12.9,26507.25,3.6,7952.175,1,1,4140.3066,4.6,6.24,15,"Doctor",10114
31530,21.2,18397.5,6.1,5519.25,4,2,2581.872,11.6,8.94,5,"Self-Employed",445
94290,17.3,36191.5,1.5,10857.45,1,0,6606.434,1,0.4,5,"Lawyer",-5194
89496,20.9,32535,3.2,9760.5,0,0,5401.9328,13.6,7.34,10,"Self-Employed",12030
74809,5.2,33604.25,6.7,10081.275,1,0,3535.0136,16.2,17.58,10,"Small Business Owner",96995
79544,18.7,36183,4.1,15854.9,1,0,4347.9456,0,17.9,10,"Real Estate Agent",-920
57477,20.3,29745.25,3.4,8923.575,3,0,4457.5662,14.6,16.54,10,"Real Estate Agent",9488
86064,17.6,32398,5.4,11219.4,0,0,4972.4528,15.2,19.98,5,"Doctor",13886
83840,9.4,38030,3,12909,0,3,3235.192,5.8,22.92,10,"Doctor",15826
66622,14.8,27460.5,1.6,8238.15,3,3,4832.0112,6.4,6.66,10,"Small Business Owner",83080
34913,5.4,19816.25,5.3,5944.875,1,0,1262.0604,0.4,21.56,10,"Real Estate Agent",1067
96022,12.1,34631.5,4.6,11889.45,1,0,4684.7324,13.7,24.58,5,"Lawyer",12019
91626,11.3,36534.5,4.6,13960.35,2,0,3687.7476,15.4,26.86,15,"Lawyer",14009
49911,16.7,19324.75,6.5,7297.425,0,0,4165.0274,12.7,30.28,5,"Real Estate Agent",-1747
27162,25.8,12792.5,4.3,5337.75,2,1,3928.5592,14.3,19.62,0,"Real Estate Agent",-6443
81149,16.7,38452.25,4.4,11535.675,0,0,4464.3766,8.9,3.56,5,"Doctor",-3609
64647,12.9,19377.75,2.1,5813.325,1,0,4270.8926,9.6,18.54,0,"Lawyer",11830
82578,19.6,37087.5,1.2,11126.25,1,0,6974.0576,5.8,2.32,10,"Small Business Owner",220928
36180,18.8,10976,4.1,3292.8,5,1,3873.368,14.8,16.02,3,"Lawyer",23953
46225,16.2,30610.25,2.3,9183.075,0,1,1497.69,2.7,18.48,10,"Self-Employed",-10446
107573,11.7,36605.25,5.2,10981.575,2,0,4729.2082,9.4,18.76,0,"Self-Employed",19472
87113,17.9,43853.25,4.3,14655.975,1,0,4153.6454,11.1,22.54,0,"Lawyer",-3621
92595,18.5,34849.75,7.4,10454.925,2,0,4243.015,2.5,5.1,5,"Self-Employed",-11241
129457,16.5,39322.25,4,11796.675,2,0,6055.081,4.2,4.78,3,"Lawyer",3573
78865,24.6,34097.25,4.2,10229.175,3,0,6086.158,3.7,4.68,0,"Doctor",11503
14972,26.5,15064,3.8,7519.2,5,3,3022.516,12.3,24.52,3,"Doctor",9294
85013,10.1,34790.25,4.5,13437.075,4,1,3718.2626,18.1,9.04,3,"Lawyer",13970
110140,17,38794,4.4,11638.2,1,0,6266.76,10.4,5.66,3,"Doctor",3077
136786,8.8,51126.5,6.3,15337.95,1,1,5038.4336,12.7,7.18,5,"Small Business Owner",193473
33694,12.3,23201.5,2.3,8460.45,1,0,3221.8724,4.5,5.1,15,"Self-Employed",7769
40474,12.8,18131.5,5.5,5439.45,2,0,5152.1344,11.3,17.02,3,"Doctor",8355
53825,14.3,24643.25,4.5,7392.975,5,0,2270.395,17.5,18.6,0,"Doctor",5689
43378,23.8,29050.5,8.7,8715.15,1,0,5238.7928,13.8,32.02,10,"Self-Employed",17653
55628,10.8,24883,1.8,7464.9,2,0,3829.5648,12.3,23.92,5,"Lawyer",9690
69439,17.6,33584.75,2.4,10075.425,0,0,2444.2528,6.7,7.98,15,"Real Estate Agent",15442
38963,18.9,25273.75,4.7,7582.125,4,2,3916.8014,7.9,15.86,5,"Small Business Owner",47313
136109,16.2,45231.25,6.6,13569.375,0,2,7921.9316,0.8,1.62,15,"Self-Employed",-1486
78233,17.8,33697.25,6,10109.175,0,0,4953.0948,11.5,26,5,"Self-Employed",4339
72477,11.7,25383.25,3.7,7614.975,1,1,3369.9618,12.8,18.92,10,"Lawyer",12988
89869,12.7,32224.25,5.1,9667.275,1,0,4768.6726,7.4,29.56,0,"Small Business Owner",149726
76122,11.6,38708.5,1,11612.55,0,0,1947.0304,16.4,29.26,5,"Self-Employed",1374
71037,4,29027.25,5.6,8708.175,2,2,2317.296,3.2,22.78,15,"Lawyer",-2247
119304,18.1,46090,7.5,13827,2,0,7264.8048,5,19.3,10,"Real Estate Agent",8043
68489,12.9,25013.25,5,7503.975,1,1,2859.0162,15.1,6.64,5,"Doctor",11826
36492,14.1,9123,4.1,2736.9,0,0,2369.0744,9.7,11.78,10,"Real Estate Agent",-3353
86570,18.3,27130.5,2.6,8139.15,0,0,4853.462,9.9,26.26,10,"Doctor",4175
64455,15.2,24924.75,3.7,7477.425,1,2,3957.432,11.4,5.46,5,"Real Estate Agent",5164
59346,14.4,18746.5,7.7,7123.95,1,0,4550.1648,18.7,30.38,3,"Small Business Owner",110215
42956,12.4,24960,4.3,7488,5,0,2533.3088,13.7,11.48,5,"Self-Employed",2306
87851,23.1,31920.75,3.7,9576.225,0,1,8521.7162,0,7.7,10,"Doctor",12784
69779,15.7,22614.75,7.7,6784.425,1,1,4036.0606,3.8,13.22,10,"Doctor",14298
90470,15.6,38033.5,1.4,12910.05,1,1,5711.664,11.6,14.44,5,"Real Estate Agent",19951
67969,19.9,25365.25,4.4,7609.575,1,1,5825.1662,3.4,19.76,10,"Self-Employed",7905
55245,16.9,18014.25,5.1,5404.275,3,2,2602.281,10.4,19.06,3,"Real Estate Agent",9267
112507,10.6,37576.75,3.6,11273.025,5,0,4081.1484,20.6,8.24,10,"Lawyer",6297
66847,13,27493.75,3.6,13248.125,2,0,4308.022,10.2,13.48,5,"Real Estate Agent",6748
103439,11.1,47775.75,5.6,15832.725,1,3,4845.3458,12.1,12.74,5,"Lawyer",10435
38953,6.6,21065.25,6.2,6319.575,1,0,3809.1796,9.8,4.82,3,"Lawyer",-2517
61017,14.2,23424.25,5.3,7027.275,1,0,3723.8828,5.3,15.32,5,"Real Estate Agent",-5979
66919,18,21778.75,4.9,6533.625,1,0,5433.084,14.3,16.32,10,"Small Business Owner",86991
63271,12.4,26639.75,3.3,7991.925,2,2,4189.1208,5.1,23.14,10,"Doctor",13172
115461,17.2,37196.25,6.2,11158.875,0,2,6731.8584,8.8,30.82,5,"Doctor",8812
74317,18.8,32719.25,3.1,9815.775,0,0,4970.3192,8.1,3.24,10,"Small Business Owner",185233
82327,14.4,31927.75,4.8,9578.325,2,0,4898.0176,10.3,4.12,10,"Self-Employed",12738
46729,12.6,28958.25,6,8687.475,0,0,3031.5708,4.2,18.68,5,"Self-Employed",16952
53123,11.5,24392.75,2.9,7317.825,5,0,3037.829,13.5,16.8,5,"Small Business Owner",106412
104942,13.6,29271.5,5.5,8781.45,3,1,5460.4224,12.1,13.84,3,"Small Business Owner",72960
112754,22.8,33798.5,4.5,10139.55,1,1,7083.5824,8.2,12.28,15,"Doctor",10705
112466,15.5,38007.5,6.8,11402.25,1,0,6053.446,6.9,6.26,3,"Lawyer",7280
33581,12.7,21406.25,8,9421.875,1,1,4280.9574,9.8,18.62,5,"Real Estate Agent",10055
136499,12.7,56360.75,2.3,21908.225,3,0,6597.0746,12.4,29.36,5,"Real Estate Agent",4424
105506,15.4,39706.5,6.4,11911.95,1,0,3956.5848,0.9,22.76,5,"Small Business Owner",168303
74198,15.7,31481.5,5.1,9444.45,3,0,4159.8172,7.3,16.32,5,"Self-Employed",-2336
96108,21.7,27687,5.1,8306.1,1,1,5967.0872,17.8,18.52,10,"Self-Employed",10212
45858,12.9,23257.5,7.2,6977.25,2,0,3555.1364,7.6,3.04,5,"Small Business Owner",123511
42115,19.9,13960.75,6.1,4188.225,2,0,2226.177,10.6,16.94,10,"Doctor",14555
76472,11.8,26215,4.9,7864.5,1,1,3875.7392,10.6,14.84,10,"Self-Employed",2904
39045,16.1,24085.25,4.4,7225.575,1,0,2052.249,20,14.8,15,"Small Business Owner",108029
80701,13.3,34947.25,4.4,10484.175,1,0,4690.6466,3.5,15.2,5,"Lawyer",8121
113931,20,36408.75,4.8,13922.625,4,0,5244.24,11,16.2,15,"Real Estate Agent",2880
43984,22,18203,3.5,5460.9,1,0,1935.296,14,24,5,"Lawyer",12880
52847,22.7,21860.75,7.4,6558.225,1,0,5371.2538,6,2.4,3,"Doctor",14706
76397,18.4,38565.25,6.1,11569.575,1,0,6150.4096,13.7,13.58,10,"Doctor",4932
44472,12.5,11118,6.3,6335.4,3,0,2850.8,8.8,10.72,10,"Small Business Owner",77520
63501,14.4,25214.25,5.3,7564.275,2,0,3402.8288,0,10.6,15,"Self-Employed",13810
101183,16.5,40824.75,5.4,12247.425,2,0,3555.039,10.9,9.16,15,"Self-Employed",4293
104086,4.6,35206.5,5.3,10561.95,0,0,3058.5912,12.6,5.04,5,"Doctor",1573
86515,22.1,25723.75,7.4,7717.125,1,0,5835.963,7.6,6.64,3,"Lawyer",9080
19453,9.7,18117.25,4.2,6935.175,3,0,1008.3882,2.5,13,10,"Doctor",6912
73380,12.7,32732,2.8,9819.6,2,0,2771.852,14.3,5.72,10,"Lawyer",-7401
106943,21.7,30604.75,6.2,9181.425,2,0,5701.3262,11.7,11.78,15,"Small Business Owner",131802
99396,17,33283,6.6,9984.9,2,2,4961.464,10.7,10.68,5,"Small Business Owner",205187
69276,17.4,30614,2.3,9184.2,2,1,4717.8048,12,12.2,5,"Small Business Owner",157995
-5998,11.3,4629.5,6.7,1388.85,3,0,4069.4452,15.2,31.28,3,"Doctor",13884
76829,7,28999.25,4.2,8699.775,2,0,4068.606,3.9,15.76,5,"Doctor",-2478
92213,11,31851.25,4.6,9555.375,2,2,4430.686,15.4,17.86,10,"Lawyer",13878
76374,17.5,28233.5,6.2,8470.05,3,0,4423.09,6.6,7.84,15,"Lawyer",12641
